,법정동,거래가,거래횟수
0,가락동,2044.956373554325,426
1,가리봉동,650.2966722420773,4
2,가산동,931.4162571908844,157
3,가양동,1459.5539265313716,339
4,갈현동,726.038935664197,82
5,강일동,1357.324628731156,57
6,개봉동,949.5587151889213,462
7,개포동,2977.9290601370635,259
8,거여동,1501.7750600780319,123
9,견지동,850.5341792620488,6
10,고덕동,1956.9975037374254,216
11,고척동,919.1721974247616,280
12,공덕동,1828.5274071931967,143
13,공릉동,1004.7398721070467,640
14,공항동,914.9721613657521,55
15,광장동,1844.3067725116955,192
16,교북동,2248.4769707340224,13
17,구기동,884.6212006653561,1
18,구로동,917.5502472903445,1061
19,구산동,711.0657245798627,104
20,구수동,1187.789523696401,1
21,구의동,1542.5977404898706,155
22,군자동,1075.0052143721648,27
23,궁동,503.92111480449546,23
24,금호동1가,1897.1274001582208,87
25,금호동2가,2056.2675966669426,87
26,금호동3가,1623.0303019563814,62
27,금호동4가,1984.798944399277,83
28,길동,986.0574637653723,319
29,길음동,1386.7163114662883,451
30,남가좌동,1481.5117783089395,251
31,남현동,1096.0109484838601,79
32,내곡동,1882.7897160106047,25
33,내발산동,1143.0461208856875,267
34,내수동,1217.4442407570198,14
35,냉천동,1542.3399422117402,23
36,노고산동,865.329233549276,31
37,노량진동,1294.4606771750782,101
38,녹번동,1364.8861151727567,135
39,논현동,1534.919193025185,162
40,답십리동,1305.2019254380386,462
41,당동,1402.4747547064808,283
42,당산동,1183.945575394431,87
43,당산동1가,1454.9984891756974,17
44,당산동2가,1237.187922118401,44
45,당산동3가,1505.687672271308,65
46,당산동4가,1557.8762534226344,99
47,당산동5가,1599.2543488224344,78
48,당산동6가,1166.55658991973,4
49,당주동,962.169254318828,1
50,대림동,1050.0442146661928,216
51,대문로5가,1323.4384374184142,4
52,대방동,1339.6203812484302,129
53,대조동,994.1184650794604,124
54,대치동,2548.2138081608146,248
55,대현동,1240.284957309673,39
56,대흥동,1858.9577953084392,66
57,도곡동,2256.4529576085797,363
58,도림동,1132.6829910407523,54
59,도봉동,783.2594712959755,289
60,도선동,1232.034179993136,8
61,도원동,1792.7577363633986,28
62,도화동,1471.9760957342355,138
63,독산동,1058.3458031738407,335
64,돈암동,1072.9981842196228,390
65,동3가,784.5840719585057,1
66,동빙고동,1094.4931522548852,1
67,동선동1가,814.5913414129768,3
68,동선동4가,876.4364730222053,5
69,동소문동4가,1007.0106856693039,18
70,동소문동5가,1310.9589690373532,9
71,동소문동6가,443.8717067583047,1
72,동소문동7가,1250.721708380311,12
73,동자동,1263.3745371416524,5
74,동작동,1835.6638117978573,24
75,둔촌동,1325.6591308622974,126
76,등촌동,1243.8670107820346,456
77,리동1가,1403.793255052043,3
78,리동2가,2018.2130819199524,2
79,림동,1201.1929614897663,18
80,마곡동,1587.6329016137713,212
81,마장동,1433.5818052443333,87
82,마천동,1194.06557973789,84
83,마포동,1047.7165381207951,29
84,망우동,780.4615771767157,142
85,망원동,1139.4771285239667,148
86,면목동,1012.1784431465177,384
87,명륜1가,828.701892563197,3
88,명륜2가,1279.9838297029266,12
89,명일동,1649.2697824881407,202
90,목동,1646.5838227759834,536
91,무로4가,966.6919993977872,20
92,무로5가,996.7121253546597,26
93,무악동,1525.3008850463461,56
94,묵동,995.5635351166906,244
95,문래동2가,1512.3034859876966,7
96,문래동3가,1408.90042165621,59
97,문래동4가,1183.7207935086092,12
98,문래동5가,1191.3787753746194,39
99,문래동6가,1273.255361201874,59
100,문배동,1459.6115093524938,49
101,문정동,1786.473032017889,210
102,미아동,1046.5558227717886,500
103,반포동,3276.5762990185476,425
104,방배동,1680.5304722753226,427
105,방이동,1795.2423283731594,138
106,방학동,761.7791452051721,445
107,방화동,1061.5821276528716,566
108,번동,910.2410082124825,227
109,보광동,2113.633332975416,10
110,보문동3가,1259.1773869869883,23
111,보문동4가,1196.572614385648,1
112,보문동6가,1456.7460258796666,46
113,본동,1565.5835265586365,87
114,봉천동,1197.5206515065022,780
115,부암동,624.1541795488691,6
116,북가좌동,1221.4592941642507,126
117,북아현동,1753.039601472488,160
118,불광동,1196.717768129864,235
119,사근동,1024.666779147456,8
120,사당동,1437.9654926696564,320
121,사직동,1235.9439577516873,25
122,산천동,1642.7926636352013,31
123,삼선동2가,1219.6958514965247,38
124,삼선동3가,1243.2862187263665,16
125,삼선동4가,1221.0658873790721,10
126,삼선동5가,634.9206349206349,2
127,삼성동,2189.8919596702444,179
128,삼전동,1216.3271298967707,14
129,상계동,1132.8521173257132,1608
130,상도1동,694.7195138033552,6
131,상도동,1416.8624776859979,431
132,상봉동,989.6012088854842,212
133,상수동,1820.2419827724382,37
134,상암동,1446.8133343806335,102
135,상왕십리동,1707.0786704502668,18
136,상월곡동,1000.8984669255441,52
137,상일동,1912.5787921130304,158
138,서교동,1026.023575299735,62
139,서빙고동,2025.6831403094875,14
140,서초동,1682.7935117543723,672
141,석관동,1206.6690087807285,115
142,석촌동,1475.4013221538328,34
143,성내동,1327.8836511424784,370
144,성북동,494.84387379481666,5
145,성북동1가,1293.8663072696443,2
146,성산동,1687.5992188265818,144
147,성수동1가,2420.379923594271,168
148,성수동2가,1804.7774738504609,74
149,세곡동,2063.0968446295296,41
150,송정동,1094.5930258510823,24
151,송파동,1630.2509794547043,107
152,수색동,1075.2995049612416,56
153,수서동,2514.2610282511755,200
154,수송동,972.5719449764699,5
155,수유동,727.1788516589947,178
156,숭인동,935.5854711902634,63
157,시흥동,809.4951918626664,495
158,신계동,2157.1737608606154,19
159,신공덕동,1708.3934612468786,112
160,신교동,943.1737797689224,2
161,신길동,1463.5533034549026,319
162,신내동,964.7031692551292,531
163,신대방동,1252.2299004511458,195
164,신도림동,1444.5929454517138,239
165,신림동,953.2133828372969,627
166,신문로1가,852.1796132415601,1
167,신문로2가,2321.1894595891968,2
168,신사동,942.1945392771673,190
169,신설동,764.5728794164455,30
170,신수동,1681.5690245364844,64
171,신영동,576.6352584381832,3
172,신원동,2095.78258631328,26
173,신월동,880.9835287497089,560
174,신정동,1495.0103159332527,790
175,신창동,1293.278514578811,7
176,신천동,2308.47496436497,225
177,쌍문동,772.8519676817182,451
178,아현동,2066.995533387311,104
179,안암동1가,1165.2540952222216,11
180,안암동3가,590.5720852271265,15
181,안암동4가,420.9487870562578,5
182,암사동,1594.3985540885574,240
183,압구정동,3152.519271411397,150
184,양재동,1318.9560402527893,50
185,양평동1가,1274.1713551319667,10
186,양평동2가,1273.8728287861707,30
187,양평동3가,1346.6257294965715,70
188,양평동4가,1123.26697297705,43
189,양평동5가,1448.2859691089466,52
190,양평동6가,1093.214439315268,21
191,여의도동,1795.2790040914656,204
192,역삼동,1902.0639020266333,274
193,역촌동,664.5484869534496,93
194,연건동,1170.0039261876718,3
195,연남동,1051.0636521744623,40
196,연희동,997.1331909596793,95
197,염리동,1695.3917073067282,77
198,염창동,1281.6184523957975,367
199,영등포동,1519.632869814345,65
200,영등포동1가,956.7975728638175,70
201,영등포동2가,1049.2196701555558,13
202,영등포동3가,860.310421286031,10
203,영등포동4가,1169.0082644628098,10
204,영등포동5가,1013.398075086695,3
205,영등포동7가,1558.7433502172719,83
206,영등포동8가,1377.9736729557005,40
207,영천동,1230.30092917921,20
208,오금동,1584.441063013975,133
209,오류동,745.0699641552507,426
210,옥수동,1991.9515496763968,179
211,옥인동,839.9964064324859,1
212,온수동,995.9840628286262,51
213,용강동,2013.4774082624015,30
214,용답동,1061.2925627452757,14
215,용두동,1274.2070096107982,125
216,용문동,1490.8789209848019,7
217,용산동2가,949.6284062758051,2
218,용산동5가,2148.8811523124186,31
219,우면동,1636.6409696730836,160
220,우이동,631.332757581454,25
221,원효로1가,1479.6946486148822,17
222,원효로2가,745.5591693770328,1
223,원효로4가,1822.1540129990437,48
224,월계동,1094.8685188442437,616
225,율현동,1998.9787459556605,5
226,응봉동,1582.4742496220183,103
227,응암동,1114.3896902242902,328
228,이문동,1164.176801507046,159
229,이촌동,2102.7616005260516,302
230,이태원동,1457.0563786730581,27
231,이화동,562.6628760957119,1
232,익선동,693.140263119259,19
233,인동,1101.2434408165866,13
234,인의동,1004.6171103264759,6
235,일원동,2637.3549668476367,103
236,자곡동,1331.6431847775618,390
237,자양동,1554.0575209417545,262
238,잠실동,2839.7222510897277,322
239,잠원동,2892.1524952206423,385
240,장동,1316.2019582959495,55
241,장안동,1001.0047575725544,410
242,장위동,1235.191220000326,123
243,장지동,1978.7945489363156,156
244,전농동,1382.4982314380552,172
245,정동,980.1521402237937,23
246,정릉동,955.7493528067113,493
247,제기동,1037.4065440623533,73
248,종암동,1202.9898745867247,204
249,중계동,1169.513372411908,811
250,중곡동,897.3239584012367,57
251,중동,1197.469712509381,47
252,중화동,980.5936634128954,110
253,증산동,996.2473023130325,46
254,지로5가,861.399899269793,2
255,진관동,1141.2375771875725,315
256,창동,1115.2601932094833,708
257,창신동,1081.2951836823995,80
258,창전동,1578.9447033629958,77
259,창천동,1005.9271130136109,19
260,천연동,1503.7723806944878,43
261,천왕동,1077.250198604056,43
262,천호동,1257.4605363094615,350
263,청담동,2333.847481991833,125
264,청량리동,1151.5244232347018,62
265,청암동,1237.700033660352,5
266,청운동,1001.849568434032,1
267,청파동3가,700.6925547201329,2
268,충동1가,1288.5016566449872,1
269,충동2가,350.9122919334187,4
270,충신동,663.7612975725407,3
271,충정로2가,880.6442743335097,2
272,충정로3가,1045.048852845233,30
273,토정동,1865.9630201288435,11
274,통인동,496.015612294682,2
275,평동,2408.612437212299,13
276,평창동,804.3406023448551,38
277,풍납동,1599.4287582180057,145
278,필운동,1250.3349111369116,1
279,하계동,1169.6523255096317,291
280,하왕십리동,1635.8610505748816,224
281,하월곡동,1110.633010850793,303
282,하중동,1794.0291801082376,11
283,학동,1213.8473940196739,93
284,한강로1가,1668.6690270889662,19
285,한강로2가,1617.2091383133102,23
286,한강로3가,1607.3357273528939,39
287,한남동,2111.6933204647444,151
288,합동,1336.6066953849743,5
289,합정동,1299.0345554208868,32
290,항동,1014.4527601166585,49
291,행당동,1683.3284698339785,282
292,행촌동,615.289924408394,9
293,현동1가,1315.536203375317,33
294,현동2가,896.7677121603697,9
295,현석동,2008.3633399361024,35
296,현저동,1389.100729855157,40
297,홍은동,921.095776736229,255
298,홍익동,1081.4431630528413,2
299,홍제동,1159.5980913861322,330
300,홍파동,2281.70338799574,29
301,화곡동,897.8069738589736,592
302,화동,1456.3192661553228,18
303,화양동,971.122593171329,53
304,회기동,1112.901411121025,37
305,효제동,1418.7464191970068,32
306,효창동,1955.0741371159513,49
307,후암동,997.4635402033243,15
308,휘경동,1125.1712008203917,181
309,흑석동,1945.2283391761298,140
